Year,County Name,Age Group,Victims
2008,Lyon,6 to 10 Years Old,6
2009,Union,11 Years Old and Older,9
2008,Adams,5 Years Old and Younger,3
2004,Audubon,11 Years Old and Older,5
2009,Polk,6 to 10 Years Old,410
2017,Decatur,6 to 10 Years Old,12
2004,Monona,5 Years Old and Younger,10
2011,Fremont,6 to 10 Years Old,8
2012,Buena Vista,11 Years Old and Older,19
2007,Adams,11 Years Old and Older,7
2010,Hardin,11 Years Old and Older,16
2006,Ida,11 Years Old and Older,3
2014,Osceola,5 Years Old and Younger,3
2012,Fayette,6 to 10 Years Old,31
2012,Cass,5 Years Old and Younger,26
2017,Jackson,11 Years Old and Older,16
2006,Carroll,5 Years Old and Younger,38
2012,Buena Vista,6 to 10 Years Old,22
2013,Calhoun,5 Years Old and Younger,24
2010,Van Buren,6 to 10 Years Old,12
2008,Guthrie,6 to 10 Years Old,11
2014,Story,5 Years Old and Younger,71
2017,Hamilton,6 to 10 Years Old,10
2010,Palo Alto,11 Years Old and Older,8
2004,Audubon,5 Years Old and Younger,7
2006,Jones,6 to 10 Years Old,16
2010,Lyon,11 Years Old and Older,7
2017,Kossuth,5 Years Old and Younger,23
2011,Webster,11 Years Old and Older,44
2007,Clarke,11 Years Old and Older,7
2006,Humboldt,6 to 10 Years Old,7
2004,Sioux,5 Years Old and Younger,38
2017,Benton,11 Years Old and Older,29
2007,Marion,6 to 10 Years Old,21
2006,Winnebago,5 Years Old and Younger,11
2012,Crawford,6 to 10 Years Old,21
2012,Johnson,11 Years Old and Older,59
2006,Hardin,6 to 10 Years Old,19
2015,Fremont,6 to 10 Years Old,4
2009,Monona,11 Years Old and Older,4
2009,Hamilton,11 Years Old and Older,19
2017,Floyd,11 Years Old and Older,13
2009,Cass,6 to 10 Years Old,21
2009,Harrison,5 Years Old and Younger,22
2015,Cass,11 Years Old and Older,10
2007,Fremont,5 Years Old and Younger,13
2012,Fayette,11 Years Old and Older,20
2012,Taylor,6 to 10 Years Old,5
2017,Cass,11 Years Old and Older,17
2014,Iowa,6 to 10 Years Old,4
2007,Mills,11 Years Old and Older,14
2004,Story,11 Years Old and Older,44
2005,Jasper,6 to 10 Years Old,44
2013,Des Moines,5 Years Old and Younger,104
2006,Clinton,5 Years Old and Younger,103
2015,Bremer,11 Years Old and Older,10
2008,Crawford,5 Years Old and Younger,27
2008,Boone,11 Years Old and Older,25
2008,Cass,5 Years Old and Younger,21
2010,Cass,6 to 10 Years Old,21
2007,Polk,11 Years Old and Older,368
2011,Buchanan,11 Years Old and Older,9
2014,Ringgold,6 to 10 Years Old,1
2008,Hamilton,6 to 10 Years Old,12
2010,Mahaska,5 Years Old and Younger,54
